depth,method,sample_id,subsample_repeat,composition_RMSE_RA,composition_Spearman,Bray_Curtis,Jensen_Shannon_distance,RAD_MAE_log10_RA_specific,RAD_RMSE_log10_RA_specific,RAD_head_MAE_log10,RAD_middle_MAE_log10,RAD_tail_MAE_log10,Shannon_absolute_error,Simpson_absolute_error,true_richness_1read,predicted_richness_1read,richness_1read_absolute_error,true_richness_fixed,predicted_richness_fixed,richness_fixed_absolute_error
500,Raw shallow RA,SRS2821816,1,0.002530655967696151,0.6638309359628484,0.12131936017598087,0.20668566696874338,2.055171523762719,2.8318714784763253,0.04649476276868747,2.723358020878762,1.660994651492589,0.09211945503957875,0.0027025526993623705,39,57,18,117,57,60
500,Raw shallow RA,SRS2821816,2,0.0031871144950141018,0.649384681694899,0.13647358351769226,0.22444444981339018,2.112614356823625,2.8819528792687934,0.054394327093313675,2.8504438565037633,1.660994651492589,0.1795507666003262,0.0034984657915316797,39,54,15,117,54,63
500,Raw shallow RA,SRS2821816,3,0.0034941040159343064,0.6899398831015017,0.150272116846913,0.21915892128079548,2.075890758396682,2.8486776556819744,0.0382322195128562,2.7704641494695736,1.660994651492589,0.12717007426347982,0.00930331472400625,39,56,17,117,56,61
500,Raw shallow RA,SRS2821816,4,0.002843843891242991,0.6668198578469655,0.1236122272962173,0.18637811869291035,2.165212000033198,2.932701544457108,0.06704615647338912,2.966192344164206,1.660994651492589,0.19665509253686153,0.011387558934253028,39,51,12,117,51,66
500,Raw shallow RA,SRS2821816,5,0.00272690181907467,0.7053738717945651,0.12080822944939083,0.19165186192652184,2.041005485437203,2.8157035080169885,0.0602407130449843,2.6902275727360174,1.660994651492589,0.027686606393288127,0.0031625191821099685,39,58,19,117,58,59
500,Raw shallow RA,SRS2821824,1,0.0027004215764240796,0.7046635622092802,0.12226856802627085,0.20424548459059028,2.514228149823692,3.2086631479753076,0.020342093908285588,2.3687758163183754,2.9000713368040567,0.08334995556049529,0.0016091282231599502,43,70,27,162,70,92
500,Raw shallow RA,SRS2821824,2,0.0026959620680792056,0.7138186901182946,0.14030395848564464,0.22108836100666276,2.517474248295193,3.2087620171983255,0.04095488718565696,2.373657769819739,2.9000713368040567,0.05668506447682864,0.0024952857628544045,43,70,27,162,70,92
500,Raw shallow RA,SRS2821824,3,0.002726686685110582,0.687780146002232,0.13602406625997535,0.22524182305922172,2.567488430162062,3.251490369330915,0.0444229979444378,2.484697390471673,2.9000713368040567,0.1701876703849079,0.007350066076809103,43,67,24,162,67,95
500,Raw shallow RA,SRS2821824,4,0.002752519182457294,0.692791202552725,0.13223132765250256,0.21375049346100294,2.639596020000949,3.3098793597148077,0.029583342308577936,2.6470504022466166,2.9000713368040567,0.24436633948926012,0.00822424554607959,43,63,20,162,63,99
500,Raw shallow RA,SRS2821824,5,0.002998500450658807,0.6861573628353587,0.14701413061011265,0.23073990824473517,2.603044811539402,3.2806162677673925,0.05666152030589562,2.562523882394002,2.9000713368040567,0.1973549974162463,0.00824292781191105,43,65,22,162,65,97
500,Raw shallow RA,SRS2821835,1,0.0023472600642562916,0.6308139849187332,0.09033682012935917,0.16411879535007637,1.3614387290814824,2.3127264107936285,0.03139289445828058,3.0298011364801654,0.0,0.09189327648729817,0.000680095291196281,29,38,9,74,38,36
500,Raw shallow RA,SRS2821835,2,0.003262343035017049,0.6327713134653697,0.10696926819949672,0.16407612758027204,1.3995481442310282,2.3557136648551866,0.037420380621921844,3.1140242428648794,0.0,0.06561432177725823,0.006301243143950752,29,36,7,74,36,38
500,Raw shallow RA,SRS2821835,3,0.001858759660738971,0.6146453001231789,0.08130780757685978,0.16775596749989868,1.3824459808863656,2.3343742524366013,0.03952810600950882,3.075679068131696,0.0,0.07794349757139951,0.0011840982782941323,29,37,8,74,37,37
500,Raw shallow RA,SRS2821835,4,0.003499518628760994,0.6308777095795498,0.10506361148160774,0.1618285624874908,1.3827718638748236,2.3344085629977904,0.05112351027164103,3.075082875356788,0.0,0.11326446986388916,0.018952093937276593,29,37,8,74,37,37
500,Raw shallow RA,SRS2821835,5,0.0027414170137290855,0.6411499939018296,0.10436006544287275,0.16041269330126104,1.364739271797387,2.3128645043164995,0.04722975322061505,3.0353490196900723,0.0,0.0038982645293690332,0.0086958987822916,29,38,9,74,38,36
500,Raw shallow RA,SRS2821843,1,0.0020955383400699966,0.678490024791828,0.1075115847099981,0.20371153012020154,2.3889314823059022,3.147165344527776,0.06342018129676502,2.8391107818619776,2.2228779922565027,0.19482174483115644,0.0058711602412654385,46,57,11,142,57,85
500,Raw shallow RA,SRS2821843,2,0.0027229684979594776,0.7005212516079291,0.1351100604030518,0.21611060312278535,2.352200120012161,3.115950407259255,0.04000269252566075,2.7599411444182396,2.2228779922565027,0.1714593008555645,0.005811863125555594,46,59,13,142,59,83
500,Raw shallow RA,SRS2821843,3,0.0022714785761295277,0.7021526113246829,0.11857326073014285,0.20856343877493258,2.303328792216956,3.069168894828443,0.04804289475985524,2.650135531356605,2.2228779922565027,0.0314224826665197,0.005322981330978749,46,62,16,142,62,80
500,Raw shallow RA,SRS2821843,4,0.0029261547323615653,0.6874004007628987,0.14974851653368787,0.22949348465974884,2.0751170280150473,2.868423220260214,0.0444437708675115,2.142074132262882,2.2228779922565027,0.017656534367350485,0.0012230193108132559,46,75,29,142,75,67
500,Raw shallow RA,SRS2821843,5,0.00257950072588669,0.6962414841262863,0.11504310657920658,0.2015377579788463,2.2587263977411443,3.0372712778865476,0.03254751491749907,2.5525252834714687,2.2228779922565027,0.15603927139343865,0.005830673764589567,46,64,18,142,64,78
500,Raw shallow RA,SRS2821844,1,0.0030849634252083473,0.7841878024721407,0.1488455713576261,0.2148765318863501,1.236450299163059,2.2964050596222774,0.037350220068592385,2.329050342786591,0.3784337326681405,0.04176939228534149,0.002112259609637568,52,69,17,118,69,49
500,Raw shallow RA,SRS2821844,2,0.0024019403122825626,0.7729210021235117,0.12110541587420838,0.20163930565442614,1.1982465717084123,2.25275982000642,0.04745558895706867,2.2427773904266757,0.3784337326681405,0.08407140230221799,0.002173911474654844,52,71,19,118,71,47
500,Raw shallow RA,SRS2821844,3,0.0027808851514178083,0.758625087634012,0.13840411862831034,0.20968115128499465,1.2758583769110758,2.3402313854215455,0.05762551691081986,2.4145422102343743,0.3784337326681405,0.09679905154079727,0.000699683253578165,52,67,15,118,67,51
500,Raw shallow RA,SRS2821844,4,0.0033165791793193294,0.7307172203580015,0.15606515085145242,0.22831729773013582,1.3726817476416788,2.4482126685479533,0.048187892488297995,2.63134769517355,0.3784337326681405,0.1542699927937332,0.0033446948699085155,52,62,10,118,62,56
500,Raw shallow RA,SRS2821844,5,0.002221151631308563,0.7473139332788266,0.11955872315738308,0.20727287708398065,1.3706286991889756,2.448153369480317,0.03443298805196903,2.628341900881318,0.3784337326681405,0.1517993676452778,0.004784156515375226,52,62,10,118,62,56
500,Raw shallow RA,SRS2821854,1,0.0034169989888764712,0.7833769282377812,0.1391410877031569,0.20536258849009434,1.016657705585289,2.1427551247673846,0.06638402928103933,2.257614603842192,0.0,0.20485059488664925,0.00870951284628374,54,62,8,111,62,49
500,Raw shallow RA,SRS2821854,2,0.002435447641670355,0.7867477215312755,0.1279500166568781,0.1959612864552866,1.0212069544822318,2.1430005235738956,0.05013672607557608,2.2696034122763544,0.0,0.05621444827724131,0.0024250357024571123,54,62,8,111,62,49
500,Raw shallow RA,SRS2821854,3,0.0028465866548501133,0.7850252383439411,0.13488694229875062,0.20175542578859706,1.0360221972668209,2.1657427887152076,0.042447481530434095,2.303489656542779,0.0,0.06067200758289504,0.00506427661883746,54,61,7,111,61,50
500,Raw shallow RA,SRS2821854,4,0.0037935987341743914,0.7917780958664126,0.1560866400798202,0.20674157359378564,1.0391559774031693,2.165942988139591,0.04794221324842764,2.309845346387504,0.0,0.001999122976164447,0.009327527903391197,54,61,7,111,61,50
500,Raw shallow RA,SRS2821854,5,0.0023046843629442623,0.8010708168331323,0.12094452513223125,0.18760511331774585,0.9952873955908255,2.1198427799681157,0.03291146891911757,2.2138170998607123,0.0,0.15390795961813186,0.008132065709304137,54,63,9,111,63,48
